Designator,Part,Qty,Cost (each),Total,Link,LCSC #
U1,Seeed Xiao ESP32-C3,1,$4.99,$4.99,https://www.seeedstudio.com/Seeed-XIAO-ESP32C3-p-5431.html,N/A
U2,SSD1306 0.96 Inch OLED,1,$2.24,$2.24,https://www.lcsc.com/product-detail/C5248080.html,C5248080
SW1,Tactile Push Button,1,$0.56,$0.56,https://www.lcsc.com/product-detail/C2888493.html,C2888493
BT1,LiPo 250mAh Battery,1,$8.99,$8.99,https://www.amazon.com/EEMB-Battery-Rechargeable-Lithium-Connector/dp/B08FD3V6TF,N/A
PCB,PCB Board,5,$0.80,$4.00,https://www.jlcpcb.com,N/A
C1,C2,C3,100nF Capacitor,3,$0.0086,$0.86,https://www.lcsc.com/product-detail/C60474.html,C60474
C4,220nF Capacitor,1,$0.0238,$1.19,https://www.lcsc.com/product-detail/C64705.html,C64705
C5,10µF Capacitor,1,$0.0372,$0.74,https://www.lcsc.com/product-detail/C192100.html,C192100
C6,10nF Capacitor,1,$0.016,$0.80,https://www.lcsc.com/product-detail/C100042.html,C100042
LED1-6,WS2812B-V6 LED,6,$0.1011,$1.01,https://www.lcsc.com/product-detail/C52917433.html,C52917433
R1,100kΩ Resistor,1,$0.0061,$0.62,https://www.lcsc.com/product-detail/C60491.html,C60491
U3,ICS-43434 Microphone,1,$4.66,$4.66,https://www.lcsc.com/product-detail/C5656610.html,C5656610
U4,ISM303DACTR Accelerometer,1,$4.04,$4.04,https://www.lcsc.com/product-detail/C2913653.html,C2913653
U5,SPX3819M5-L-1-8 Voltage Regulator,1,$0.1437,$0.72,https://www.lcsc.com/product-detail/C24639.html,C24639
U6,LSF0108PWR Level Shifter,1,$0.5849,$0.58,https://www.lcsc.com/product-detail/C190219.html,C190219
BUZZER1,1207-P6.5MM Buzzer,1,$0.0317,$0.32,https://www.lcsc.com/product-detail/C49246964.html,C49246964
Shipping,N/A,1,Seeed($6.5) + LCSC($9.58) + Amazon($7.95) + JLCPCB($3.12),$27.15,N/A,N/A
Total Costs,N/A,1,$63.53,$63.53,N/A,N/A
